# Bada HHKB built-in kanji conversion dictionary.
# Format:  reading(hiragana)<TAB>candidate1,candidate2,...
# Lines starting with '#' are comments. Extend freely.
にほん	日本
にっぽん	日本
にほんご	日本語
えいご	英語
かんじ	漢字,感じ,幹事
へんかん	変換,返還
むへんかん	無変換
ひらがな	平仮名
かたかな	片仮名
もじ	文字
にゅうりょく	入力
しゅつりょく	出力
へんしゅう	編集
ことば	言葉
わたし	私
あなた	貴方
かれ	彼
かのじょ	彼女
ひと	人
がっこう	学校
せんせい	先生
がくせい	学生
ともだち	友達
かぞく	家族
しごと	仕事
かいしゃ	会社
でんわ	電話
じかん	時間
きょう	今日
あした	明日
きのう	昨日
あさ	朝
ひる	昼
よる	夜
みず	水
ひ	火,日
き	木,気
かね	金,鐘
つき	月
ほし	星
そら	空
うみ	海
やま	山
かわ	川,皮
はな	花,鼻
ねこ	猫
いぬ	犬
とり	鳥
さかな	魚
くるま	車
でんしゃ	電車
ひこうき	飛行機
ほん	本
つくえ	机
いす	椅子
へや	部屋
いえ	家
みせ	店
えき	駅
まち	町,街
くに	国
たべる	食べる
のむ	飲む
みる	見る,観る
きく	聞く,菊
いく	行く
くる	来る
かく	書く,描く
よむ	読む
はなす	話す
かう	買う
うる	売る
あう	会う,合う
しる	知る
おもう	思う
かんがえる	考える
わかる	分かる,解る
できる	出来る
あたらしい	新しい
ふるい	古い
おおきい	大きい
ちいさい	小さい
たかい	高い
やすい	安い
おおい	多い
すくない	少ない
ながい	長い
みじかい	短い
あつい	暑い,熱い,厚い
さむい	寒い
あたたかい	暖かい,温かい
すずしい	涼しい
おいしい	美味しい
いち	一
に	二
さん	三
よん	四
ご	五
ろく	六
なな	七
はち	八
きゅう	九
じゅう	十,自由,住
ひゃく	百
せん	千,線,先
まん	万
えん	円,縁
ねん	年
あい	愛
ゆめ	夢
こころ	心
ちから	力
て	手
め	目,芽
くち	口
あたま	頭
かお	顔
からだ	体
こめ	米
にく	肉
たまご	卵
やさい	野菜
くだもの	果物
おちゃ	お茶,御茶
こうちゃ	紅茶
さけ	酒,鮭
あめ	雨,飴
ゆき	雪
かぜ	風,風邪
くも	雲,蜘蛛
にじ	虹
へんすう	変数
かんすう	関数
じょうほう	情報
でんき	電気,伝記
きかい	機械,機会
じどう	自動
しゅどう	手動
せってい	設定
ほぞん	保存
さくじょ	削除
ついか	追加
へんこう	変更
かいし	開始
しゅうりょう	終了
じっこう	実行
けんさく	検索
ちかん	置換
こんにちは	今日は
こんばんは	今晩は
おはよう	お早う,御早う
ありがとう	有難う
さようなら	左様なら
すみません	済みません
まなぶ	学ぶ
おしえる	教える
つくる	作る,造る
つかう	使う
はたらく	働く
やすむ	休む
あそぶ	遊ぶ
ねる	寝る
おきる	起きる
あるく	歩く
はしる	走る
とぶ	飛ぶ
およぐ	泳ぐ
